Subject	APOBEC3B	CCL-24	CCL2	CCL20	CCL22	DDX58/RIG-1	G1P2/ISG15	G1P3	IFI44	IFIT1	IFIT4	IL-10	IL-6	IL1A	IL1B	INFA5	INFB1	IRF5	IRF7	LPL	LY6E	MX1	NK4(IL-32)	OAS3	OASL	OPN(SPP1)	PBEF	PI3	PRKR	TNF ALPHA
434_1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
434_15	4.796	1.801	0.471	0.724	0.896	5.309	0.913	0.814	0.765	1.415	4.613	2.954	NA	2.22	2.982	16.704	2.093	0.786	1.136	2.255	1.224	1.167	1.121	1.447	1.424	0.637	2.679	0.94	1.253	1.292
434_2	1.603	7.474	2.848	13.548	2.769	1.077	1.122	1.05	1.535	1.078	0.845	0.24	NA	4.461	4.338	0.473	1.213	1.222	1.098	4.882	1.486	1.755	1.111	1.416	0.968	5.604	0.609	0.602	1.283	1.334
434_14	1.147	2.263	4.161	16.354	0.771	0.783	1.275	0.982	0.982	0.765	0.62	0.371	NA	9.19	9.359	2.611	0.729	0.58	0.801	1.392	0.998	0.964	1.226	1.474	0.873	1.366	1.606	0.894	0.959	1.151
434_3	2.205	1.643	48.361	6.148	1.171	8.124	63.905	30.831	31.378	40.758	39.712	0.344	NA	5.496	4.004	6.598	5.368	1.914	9.806	4.697	18.473	33.381	1.52	19.658	4.882	3.598	0.997	1.108	12.953	3.701
434_13	0.602	0.818	1.07	6.505	3.243	5.259	3.94	0.559	6.499	1.771	2.218	0.439	NA	1.456	1.534	2.068	5.571	0.982	1.255	1.635	11.838	2.766	1.262	13.247	1.095	0.532	0.186	4.982	4.347	6.174
434_4	2.82	0.387	109.893	10.407	2.066	23.824	206.269	98.416	100.559	187.207	118.593	4.44	NA	4.801	4.396	6.688	10.497	3.168	17.375	1.356	46.339	89.118	1.842	62.788	12.495	2.141	1.258	1.973	29.496	3.558
434_12	3.761	1.097	51.407	36.499	0.986	25.852	279.518	67.244	60.775	286.822	386.654	1.802	NA	3.776	4.956	6482.234	2123.549	2.014	15.753	8.314	21.484	84.557	1.186	64.225	17.884	4.123	1.717	2.328	37.847	8.976
434_5	2.251	1.091	21.467	24.787	2.101	1.661	8.495	4.965	9.029	5.638	5.698	1.605	NA	7.034	9.352	3.817	0.636	1.439	2.644	2.763	5.736	6.694	1.872	3.394	4.548	3.527	1.767	2.716	5.623	2.14
434_11	2.337	2.215	5.721	11.218	1.056	7.771	64.094	11.169	6.082	89.333	71.939	0.214	NA	6.671	4.469	2113.959	902.025	1.458	5.884	3.985	12.415	27.462	1.413	63.714	6.869	3.746	2.431	1.127	11.171	3.228
434_6	1.634	0.296	21.937	58.91	1.221	5.007	34.233	19.792	23.513	27.189	40.018	2.365	NA	8.774	10.855	3.565	1.36	1.323	6.795	1.825	8.512	23.61	0.982	11.357	3.71	1.139	2.655	1.16	12.934	3.187
434_10	2.008	0.583	4.424	5.724	1.262	3.567	19.828	10.41	10.897	12.519	20.727	1.89	NA	0.79	2.171	0.987	1.796	1.382	5.021	1.451	6.147	14.139	1.472	5.565	3.23	0.515	1.747	1.391	7.744	1.737
434_7	1.707	0.196	26.541	38.479	1.286	8.043	68.663	53.424	30.633	55.688	63.582	1.452	NA	8.107	11.463	2.113	1.827	1.548	10.815	0.677	27.249	32.424	1.06	39.469	5.21	1.54	1.835	0.624	12.556	2.841
434_9	1.644	1.51	0.538	0.862	0.84	0.826	1.305	0.985	1.486	0.935	1.398	0.523	NA	0.985	0.897	3.582	2.339	0.948	1.225	1.612	1.704	1.188	1.173	1.881	1.287	0.836	1.422	0.63	1.521	1.367
434_8	1.909	1.265	51.919	5.12	1.746	10.926	56.498	43.425	43.512	53.432	35.451	0.82	NA	2.628	3.59	12.8	9.892	2.268	13.553	1.688	21.034	49.412	1.561	19.06	8.046	2.697	1.112	1.107	12.876	3.56
