              Gene  norm1			  norm2	        norm3	        norm4	        norm5	       norm6	        norm7	     norm8	        norm9	     norm10	        norm11	     norm12	        norm13	     norm14	       norm15	     norm16	        norm17	     norm18	        norm19	     norm20	        norm21	     norm22	        tumor1	     tumor2	        tumor3	     tumor4	        tumor5	     tumor6	       tumor7	    tumor8	        tumor9	     tumor10	  tumor11	     tumor12	  tumor13	     tumor14	  tumor15	     tumor16	  tumor17	     tumor18	  tumor19	     tumor20	  tumor21	    tumor22	        tumor23	    tumor24	        tumor25	     tumor26	  tumor27	     tumor28	  tumor29	    tumor30	        tumor31	     tumor32	  tumor33	     tumor34	  tumor35	     tumor36	  tumor37	     tumor38	  tumor39	    tumor40
              1     9164.25370     6246.44870     2510.32500     4028.71000     5271.51750    14173.05400     4985.21880     5627.25120     4865.22000     4412.47630     6995.41000     1914.67750     3656.78370     6194.24500    11447.63100     6302.77630     7121.17370     6870.32250     4177.28380     5777.17380     6730.62500     7472.01000     4214.90000     3825.70500     8865.45870     5934.88880     5821.61750     9767.02750    13324.72900    12977.71200     8753.23880     5012.02000     6904.80120     8347.98380     5100.53630     4554.57620     5466.93000     4201.50750     4469.09000     9128.11880     3799.08880     7126.59880     4913.79880    14641.93100     9443.87750    14368.27600     6951.35380     8589.41630     6357.92120     7144.40620     9330.67870    11605.97200     7666.67500     5382.39380     3230.32870     4527.00380     4653.23750     4972.16620     9112.37250     7434.82130     6234.62250    14876.40700
              2     6719.52950     7823.53410     1960.65450     3156.15910     4740.76820     8411.86140     4735.79320     3619.53180     3237.77730     1752.39550     6658.10910     2119.11140     5082.85680     5202.00000     3529.12730     4127.49770     5346.64770     4751.76140     4984.09770     3387.89320     3472.12500     3653.93410     2213.35680     6970.36140     5447.18640     3744.98860     3748.24770     9785.77500     9505.03410     7565.61590     8978.13410     1383.48860     2260.77730     9852.29770     3343.32050     3139.31140    10152.27300     2425.62730     5167.05680     5502.71590     5665.77950     3779.06820     5215.04770     3377.39320     6671.77730     3651.99090     5565.77730     5468.24090     3736.84550     2071.40230     7017.22950     8278.91820     6409.73860     3848.44320     3694.45000     2912.30680     6251.55680     4173.91820     6824.48640     6471.21140     4005.30000     3201.90450
              3     4883.44870     5955.83500     1566.31500     2870.25500     3318.51370     6042.84000     4075.12250     2606.50000     2341.08630     1280.32380     5316.39620     1595.40880     4101.91750     4079.63380     2920.84120     3635.69500     4254.11750     4102.34500     4585.89870     2413.65250     2559.46250     2728.21620     1611.51880     5369.96880     4887.05750     3528.83370     3439.95380     8605.04380     7740.98750     5735.20000     7777.84120     1269.64870     1987.00120     8178.96500     2925.67000     2958.40250     7760.91750     2228.81750     4773.68000     4590.13380     5157.06750     3705.55370     4288.61620     3048.43250     6260.61620     3302.92750     4480.78500     4263.40750     2665.59120     1619.27620     4723.78250     7316.10380     6489.86370     3372.48870     3400.74000     2124.98870     4947.12250     3668.53380     5982.84630     5029.61750     3093.67500     2327.62630
              4     3718.15890     3975.56430     3072.81610     4417.59110     6792.34820     8766.04640     2845.24820     2544.45180     2372.68040     5200.34460     4047.51430     1186.03040     1365.70000     3951.19820     5445.86250     2604.74110     3399.70890     3182.00360     3165.15540     2843.26250     2624.68930     3494.48040     1764.23210     4705.65000     3782.59460     2721.70360     2502.96610     4941.23930     7982.81070     6911.68040     6202.49640     3168.71250     3439.41070     4467.50180     2914.19460     1658.30710     7258.25000     1503.60540     3330.36430     3234.40180     1359.79110     6594.51430     3213.43040     5401.22680     4905.70890     5738.48570     3667.64640     4064.93570     2493.87500     2576.15890     9491.53390     3602.35180     2451.11790     4444.56610     3463.58570     2609.05000     3763.54640     1567.55540     3147.04290     4749.32860     3183.08570    11248.68000
              5     2015.22140     2002.61310     1810.20480     1854.10600     2632.88930     3511.08450     2973.27500     5967.08570     3058.27140     2369.06070     1656.00600     2090.38810     1980.23330     2382.22140     2699.26190     1796.43210     4017.03810     3193.65950     3051.55710     1467.03930     1596.21790     2404.66550     4374.77980     1166.55360     3927.01070     1556.61900     1549.60480     3581.59760     2544.93450     3095.93330     4271.41190     1945.49290     2878.92020     3388.44640     1481.22260     3196.53330     1469.69050     3804.53330     3174.24170     3978.54520     1872.64520     2460.90480     3147.40240     4734.29880     3139.24880     5115.91310     4278.61670     1997.89290     1306.24760     3401.15000     5346.54170     8093.87500     4176.21190     2464.90240     2181.42020     2077.96790     2737.16070     1570.44050     4847.30830     1548.47740     1795.31070     5893.27860
              6     5569.90710     2130.54290     1673.56430     2828.30360     5449.20710     4878.18210     4219.46430     7736.46790     1347.13210     2047.95000     6236.75360     1087.75000     4883.89290     1949.16430     6637.81430     2736.15710     7158.91790     7264.99290     3404.40000     1928.77500     4372.78930     5791.60710     4520.79290     1572.16790     6138.97140     3584.23930     4155.71430     7265.11430    10163.29300     8961.29290     8248.87860     2726.80360     5887.21430     5632.56070     3697.94640     2280.41070     5695.64640     3591.25000     3643.68570     7676.71430     2218.10360     3775.68210     4460.44640     5167.37500    10926.21800     4890.78570     7568.92860     5282.32500     4092.71790     2915.09290     1557.14290     6572.75000     4654.63570     1304.55710     2922.78210     2888.56430     2792.53210     3466.81070    11222.68200     7000.12860     3940.84640     5319.85710
              7     3849.05880     1531.14250     1290.42120     1427.52620     4623.21250     3391.87500     3556.88000     4633.86500     1306.57250     2104.75880     4130.04250     1248.16380     2925.73750     1909.09750     4903.89630     3648.10370     5059.19500     3777.50250     2389.89000     2793.61370     3798.52620     2876.42120     3982.79500     1325.40250     4379.59500     3484.48500     3703.22250     6498.42000     9611.04120     6641.79500     5514.23750     3300.59380     3652.94000     3754.51500     2080.27500     2132.31250     4662.85500     4028.58870     3886.41750     4644.38880     1395.05250     2621.41880     2334.80870     4434.32880     7376.85000     5008.32880     6299.36130     2169.72000     3163.85500     3361.53500     1969.08000     4314.98130     2321.52250     1062.69750     2069.24630     2661.26000     2005.71250     2106.49870     6333.47250     3077.41120     2019.85000     9939.24620
              8     2793.38750     1714.63120     2465.84620     3390.70620     3277.40380     2622.00750     3234.24500     1356.45130     3507.04500     2938.86750     3229.71000     1895.09500     2061.41250     3415.10380     3411.60250     2414.64380     2970.63630     2669.43250     3228.64750     1844.96250     1026.47750     2150.95880     3466.28880     1472.25870     5385.03000     1385.96250     1300.37750     3870.29750     2346.15620     2801.86000     3681.18500     1672.86000     2524.50380     4869.55620     1638.04500     3104.62120     2949.18120     2794.08500     3922.92250     2518.69750     1683.77750     2047.28120     3302.76250     4553.24500     3245.25120     5643.78130     5174.09130     2773.42120     1077.61620     2888.06130     2295.40250     5917.02630     3520.31620     2903.32500     2948.57500     1842.15380     2201.17750     1535.75750     4299.50250     3440.91380     1406.65000     4058.64380
              9     7017.73380     3869.78500     1675.54380     4373.04380     4488.06000    10012.81000     2824.78380     2982.88250     3917.26620     2628.59380     6939.09250     1179.93500     1482.97130     3965.97000     2534.90370     3182.25500     5341.00750     4191.89000     2292.20870     3297.40120     3512.33380     3767.00250     2197.63380     3296.95120     5130.40750     3634.38370     4139.28620     6936.53620     8642.83620     9363.43380     7043.59120     4185.62250     4209.11250     5019.05370     3763.13750     2958.98750     6223.86000     2683.02500     2968.09620     5460.93620     2430.01500     6411.26750     3855.77120     9515.12120     6518.73620     6013.95120     4038.18500     7526.38620     3865.80870     6749.66500     6880.34620     7675.28000     4477.45120     4866.80870     3303.37120      995.79000     2919.91880     1887.62120     4644.44250     5188.92130     2927.79380    14144.83500
             10     4802.25240     4989.40710     1312.80830     3080.45120     3343.81070     6326.22500     3187.02500     6400.22740     1528.61430     1688.88570     4771.56190      974.81548     3808.26790     2857.64400     4012.59400     3196.13930     4779.28810     4698.53810     4501.67020     3073.13330     3243.16900     2685.30000     2560.49760     2786.58210     5096.72140     2386.01070     3012.64290     6769.04290     8198.13570     6413.16310    12307.91300     1025.33450     1390.66790     4843.67860     3530.06900     2121.39760     4948.23330     2892.44880     2832.22380     4251.52980     4679.45240     3857.11900     4319.02860     3925.47260     5336.09520     3837.76790     4831.82620     4607.67620     1923.37140     1652.30240     6162.89290     5028.73450     7184.07140     2734.14400     3109.41310     2460.33330     4304.52020     3519.60000     5888.54640     9008.61190     2177.32020     3282.62020
